"month" "APHRO" "TRMM" "ERA" "MERRA" "Count"
"199801" TRUE TRUE FALSE FALSE 2
"199802" TRUE TRUE FALSE FALSE 2
"199803" TRUE TRUE FALSE FALSE 2
"199804" TRUE TRUE FALSE TRUE 3
"199805" TRUE TRUE FALSE TRUE 3
"199806" TRUE TRUE FALSE TRUE 3
"199807" TRUE TRUE FALSE TRUE 3
"199808" TRUE TRUE FALSE TRUE 3
"199809" TRUE TRUE FALSE TRUE 3
"199810" TRUE TRUE FALSE FALSE 2
"199811" TRUE TRUE FALSE FALSE 2
"199812" TRUE TRUE FALSE FALSE 2
"199901" TRUE TRUE FALSE FALSE 2
"199902" TRUE TRUE FALSE FALSE 2
"199903" TRUE TRUE FALSE FALSE 2
"199904" TRUE TRUE TRUE TRUE 4
"199905" TRUE TRUE TRUE TRUE 4
"199906" TRUE TRUE TRUE TRUE 4
"199907" TRUE TRUE TRUE TRUE 4
"199908" TRUE TRUE TRUE TRUE 4
"199909" TRUE TRUE TRUE TRUE 4
"199910" TRUE TRUE FALSE FALSE 2
"199911" TRUE TRUE FALSE FALSE 2
"199912" TRUE TRUE FALSE FALSE 2
"200001" TRUE TRUE FALSE FALSE 2
"200002" TRUE TRUE FALSE FALSE 2
"200003" TRUE TRUE FALSE FALSE 2
"200004" TRUE TRUE TRUE TRUE 4
"200005" TRUE TRUE TRUE TRUE 4
"200006" TRUE TRUE TRUE TRUE 4
"200007" TRUE TRUE TRUE TRUE 4
"200008" TRUE TRUE TRUE TRUE 4
"200009" TRUE TRUE TRUE TRUE 4
"200010" TRUE TRUE FALSE FALSE 2
"200011" TRUE TRUE FALSE FALSE 2
"200012" TRUE TRUE FALSE FALSE 2
"200101" TRUE TRUE FALSE FALSE 2
"200102" TRUE TRUE FALSE FALSE 2
"200103" TRUE TRUE FALSE FALSE 2
"200104" TRUE TRUE TRUE TRUE 4
"200105" TRUE TRUE TRUE TRUE 4
"200106" TRUE TRUE TRUE TRUE 4
"200107" TRUE TRUE TRUE TRUE 4
"200108" TRUE TRUE TRUE TRUE 4
"200109" TRUE TRUE TRUE TRUE 4
"200110" TRUE TRUE FALSE FALSE 2
"200111" TRUE TRUE FALSE FALSE 2
"200112" TRUE TRUE FALSE FALSE 2
"200201" TRUE TRUE FALSE FALSE 2
"200202" TRUE TRUE FALSE FALSE 2
"200203" TRUE TRUE FALSE FALSE 2
"200204" TRUE TRUE TRUE TRUE 4
"200205" TRUE TRUE TRUE TRUE 4
"200206" TRUE TRUE TRUE TRUE 4
"200207" TRUE TRUE TRUE TRUE 4
"200208" TRUE TRUE TRUE TRUE 4
"200209" TRUE TRUE TRUE TRUE 4
"200210" TRUE TRUE FALSE FALSE 2
"200211" TRUE TRUE FALSE FALSE 2
"200212" TRUE TRUE FALSE FALSE 2
"200301" TRUE TRUE FALSE FALSE 2
"200302" TRUE TRUE FALSE FALSE 2
"200303" TRUE TRUE FALSE FALSE 2
"200304" TRUE TRUE TRUE TRUE 4
"200305" TRUE TRUE TRUE TRUE 4
"200306" TRUE TRUE TRUE TRUE 4
"200307" TRUE TRUE TRUE TRUE 4
"200308" TRUE TRUE TRUE TRUE 4
"200309" TRUE TRUE TRUE TRUE 4
"200310" TRUE TRUE FALSE FALSE 2
"200311" TRUE TRUE FALSE FALSE 2
"200312" TRUE TRUE FALSE FALSE 2
"200401" TRUE TRUE FALSE FALSE 2
